Arc Length (m),Radius (m),Curvature (1/m),Angle (deg),Coordinates
8390.504661,8754.355741,0.00011423,54.914436,"[<QgsPointXY: POINT(8102792.62344357930123806 2229803.49574254779145122)>, <QgsPointXY: POINT(8103174.13115803152322769 2228432.57209099642932415)>, <QgsPointXY: POINT(8103526.29212521947920322 2226656.74992864020168781)>, <QgsPointXY: POINT(8104142.57381779700517654 2225379.50675945123657584)>, <QgsPointXY: POINT(8105433.83069748524576426 2223822.00922664580866694)>, <QgsPointXY: POINT(8106783.78107170201838017 2222762.98372280038893223)>]"
2725.685463,8386.387991,0.00011924,18.621876,"[<QgsPointXY: POINT(8099990.0090797133743763 2241242.10949741210788488)>, <QgsPointXY: POINT(8099769.90847522020339966 2242333.3467865651473403)>, <QgsPointXY: POINT(8099681.86823342461138964 2242910.16911374311894178)>, <QgsPointXY: POINT(8099681.86823342461138964 2243939.139189422596246)>]"
3593.769256,8042.564219,0.00012434,25.602259,"[<QgsPointXY: POINT(8099535.13449709862470627 2265513.69158866116777062)>, <QgsPointXY: POINT(8099784.58184885699301958 2264499.14746111864224076)>, <QgsPointXY: POINT(8100004.6824533473700285 2263734.37363366456702352)>, <QgsPointXY: POINT(8100078.04932151176035404 2263125.69842834630981088)>, <QgsPointXY: POINT(8100034.02920061349868774 2261986.43647592421621084)>]"
364.742068,368.543207,0.00271339,56.704833,"[<QgsPointXY: POINT(8107972.70675014797598124 2148160.64475373458117247)>, <QgsPointXY: POINT(8107965.37006333097815514 2148321.598028764128685)>, <QgsPointXY: POINT(8107974.54092185199260712 2148379.77423573238775134)>, <QgsPointXY: POINT(8108003.88766911718994379 2148441.82904638070613146)>, <QgsPointXY: POINT(8108047.90779001545161009 2148503.88405304029583931)>]"
294.688203,391.582650,0.00255374,43.118331,"[<QgsPointXY: POINT(8108170.79729419015347958 2148655.14395300019532442)>, <QgsPointXY: POINT(8108242.32999065052717924 2148750.16679350752383471)>, <QgsPointXY: POINT(8108277.17925302963703871 2148823.85829240782186389)>, <QgsPointXY: POINT(8108291.85262666177004576 2148916.94268618803471327)>]"
747.836355,2239.178270,0.00044659,19.135532,"[<QgsPointXY: POINT(8108299.18931347411125898 2148901.4285899237729609)>, <QgsPointXY: POINT(8108323.03354562912136316 2149141.89845910202711821)>, <QgsPointXY: POINT(8108321.19937392417341471 2149454.12582772364839911)>, <QgsPointXY: POINT(8108293.68679836299270391 2149646.11903475550934672)>]"
365.889398,642.214569,0.00155711,32.643168,"[<QgsPointXY: POINT(8108312.02851540222764015 2149492.91218288615345955)>, <QgsPointXY: POINT(8108299.18931347317993641 2149667.4517291933298111)>, <QgsPointXY: POINT(8108304.69182858522981405 2149717.87455363525077701)>, <QgsPointXY: POINT(8108339.54109096433967352 2149853.62895536189898849)>]"
1408.724481,854.296640,0.00117055,94.480024,"[<QgsPointXY: POINT(8108005.72184081841260195 2151079.33977109799161553)>, <QgsPointXY: POINT(8108258.83753598388284445 2150834.96726525248959661)>, <QgsPointXY: POINT(8108376.22452504746615887 2150710.8427133341319859)>, <QgsPointXY: POINT(8108471.60145366005599499 2150439.32299270993098617)>, <QgsPointXY: POINT(8108453.2597366189584136 2150202.71601298544555902)>, <QgsPointXY: POINT(8108335.87274755630642176 2149861.38637809688225389)>]"
786.375267,860.546212,0.00116205,52.357425,"[<QgsPointXY: POINT(8108372.55618163757026196 2149993.26303355023264885)>, <QgsPointXY: POINT(8108453.2597366189584136 2150303.56454085931181908)>, <QgsPointXY: POINT(8108497.27985751815140247 2150396.65594952693209052)>, <QgsPointXY: POINT(8108750.39555268362164497 2150656.53846871899440885)>]"
1293.997940,1048.027090,0.00095417,70.743038,"[<QgsPointXY: POINT(8107730.59608520194888115 2152130.56414499972015619)>, <QgsPointXY: POINT(8107701.24933793675154448 2151595.24727777484804392)>, <QgsPointXY: POINT(8107796.6262665493413806 2151331.4733239677734673)>, <QgsPointXY: POINT(8108104.76711283810436726 2150966.85046185087412596)>]"
